school_id,region,division,language,Municipality,District_Name,Barangay,Ownership,Classification,Management,Level,n_test_takers_x,school_low_emerging_total,school_high_emerging_total,school_developing_total,school_transitioning_total,school_at_grade_level_total,school_low_emerging_percent,school_high_emerging_percent,school_developing_percent,school_transitioning_percent,school_at_grade_level_percent,g1_mt_low_emerging,g1_mt_high_emerging,g1_mt_developing,g1_mt_transitioning,g1_mt_at_grade_level,g1_mt_total,g2_mt_low_emerging,g2_mt_high_emerging,g2_mt_developing,g2_mt_transitioning,g2_mt_at_grade_level,g2_mt_total,g2_fil_low_emerging,g2_fil_high_emerging,g2_fil_developing,g2_fil_transitioning,g2_fil_at_grade_level,g2_fil_total,g3_mt_low_emerging,g3_mt_high_emerging,g3_mt_developing,g3_mt_transitioning,g3_mt_at_grade_level,g3_mt_total,g3_fil_low_emerging,g3_fil_high_emerging,g3_fil_developing,g3_fil_transitioning,g3_fil_at_grade_level,g3_fil_total,g3_eng_low_emerging,g3_eng_high_emerging,g3_eng_developing,g3_eng_transitioning,g3_eng_at_grade_level,g3_eng_total,District,School_Name,Address,total_enrollees,total_facilities,total_teachers,n_test_takers_y,english_mps,filipino_mps,mother_tongue_mps,numeracy_mps,mps,overall_mps
101978,Region I,"Pangasinan II, Binalonan",Tagalog,SAN NICOLAS,6th District,SAN ROQUE,Public,Partially Urban,DepED Managed,Purely ES,107,40,20,5,21,21,0.373831776,0.186915888,0.046728972,0.196261682,0.196261682,19,10,1,0,0,30,19,1,1,11,9,41,19,1,1,11,9,41,9,0,5,6,16,36,9,0,1,8,18,36,2,9,3,10,12,36,San Nicolas I,San Roque ANP Pilot School,"Zone III , San Roque",286,5,16,49,85.03401361,83.94557823,78.41269841,78.36734694,81.93548387,82.46409675
101979,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,SOBOL,Public,Partially Urban,DepED Managed,Purely ES,38,15,1,15,7,0,0.394736842,0.026315789,0.394736842,0.184210526,0,3,0,8,3,0,14,6,0,9,0,0,15,6,0,6,3,0,15,5,2,1,1,0,9,6,1,1,1,0,9,6,1,1,1,0,9,San Nicolas I,Sobol ES,#NAME?,101,6,7,19,78.24561404,82.33918129,77.66493897,77.89473684,79.85645933,79.4165781
101980,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,SANTO TOMAS,Public,Partially Urban,DepED Managed,Purely ES,50,14,1,3,16,16,0.28,0.02,0.06,0.32,0.32,10,1,3,3,1,18,0,0,0,0,0,0,4,0,0,5,9,18,0,0,2,4,8,14,0,0,2,4,8,14,0,0,0,8,6,14,San Nicolas I,Sto. Tomas ES,Brgy. Sto. Tomas,138,6,15,19,82.10526316,73.4502924,77.07602339,56.84210526,74.87266553,77.54385965
101981,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,CALANUTIAN,Public,Partially Urban,DepED Managed,Purely ES,29,6,0,3,4,16,0.206896552,0,0.103448276,0.137931035,0.551724138,4,0,2,0,4,10,0,0,0,0,0,0,1,0,0,1,5,7,0,0,1,3,8,12,0,0,1,3,8,12,1,0,1,3,7,12,San Nicolas I,Villa Jose Elementary School,#NAME?,74,4,7,10,81.55555556,76.22222222,74.44444444,60.5,75.22580645,77.40740741
152005,Region I,"Pangasinan II, Binalonan",Tagalog,SAN NICOLAS,6th District,CABOLOAN,Public,Partially Urban,DepED Managed,Purely ES,20,5,4,0,11,0,0.25,0.2,0,0.55,0,2,1,0,0,0,3,0,3,1,0,0,4,0,3,0,1,0,4,2,0,0,11,0,13,2,0,0,11,0,13,3,0,0,10,0,13,San Nicolas I,Cabuloan ES,#NAME?,59,6,5,10,89.33333333,94.66666667,80.22222222,60.5,84.51612903,88.07407407
500379,Region I,"Pangasinan II, Binalonan",Tagalog,SAN NICOLAS,6th District,SAN FELIPE EAST,Public,Partially Urban,DepED Managed,All Offering (K to 12),114,44,8,32,25,5,0.385964912,0.070175439,0.280701754,0.219298246,0.043859649,16,2,8,4,1,31,16,0,14,9,0,39,16,0,14,9,0,39,19,0,2,21,2,44,19,0,2,21,2,44,12,6,10,12,4,44,San Nicolas I,San Felipe Integrated School,-San Felipe East,809,28,36,53,71.06918239,76.60377358,83.18658281,72.9245283,76.43335362,76.95317959
101982,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,FIANZA,Public,Partially Urban,DepED Managed,Purely ES,8,2,0,1,5,0,0.25,0,0.125,0.625,0,2,0,1,1,0,4,0,0,0,1,0,1,0,0,0,1,0,1,0,0,0,3,0,3,0,0,0,3,0,3,0,0,0,3,0,3,San Nicolas II,Bangar Elementary School,SITIO BANGAR,26,5,3,8,58.05555556,55.55555556,85.55555556,68.125,66.61290323,66.38888889
101983,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,CABITNONGAN,Public,Partially Urban,DepED Managed,Purely ES,54,16,12,8,9,9,0.296296296,0.222222222,0.148148148,0.166666667,0.166666667,8,4,3,1,0,16,6,6,4,0,0,16,6,2,5,3,0,16,7,1,0,14,0,22,8,0,0,14,0,22,2,6,0,5,9,22,San Nicolas II,Cabitnongan ES,Cabitnongan,128,6,9,20,57.22222222,61.44444444,82,61.75,66.22580645,66.88888889
101984,Region I,"Pangasinan II, Binalonan",Ilocano,SAN NICOLAS,6th District,CACABUGAOAN,Public,Partially Urban,DepED Managed,Purely ES,38,7,1,3,17,10,0.184210526,0.026315789,0.078947368,0.447368421,0.263157895,3,0,3,2,0,8,3,0,0,11,0,14,2,0,0,11,1,14,3,0,0,9,4,16,2,0,0,11,3,16,2,1,0,4,9,16,San Nicolas II,Cacabugaoan ES,#NAME?,100,10,10,18,58.51851852,62.4691358,70.24691358,48.61111111,61.7921147,63.74485597
101985,Region I,"Pangasinan II, Binalonan",Tagalog,SAN NICOLAS,6th District,CALAOCAN,Public,Partially Urban,DepED Managed,Purely ES,40,17,1,1,10,11,0.425,0.025,0.025,0.25,0.275,12,0,0,0,2,14,4,0,0,10,5,19,4,0,0,10,5,19,1,0,0,0,6,7,1,0,0,0,6,7,1,1,1,0,4,7,San Nicolas II,Calaocan ES,#NAME?,111,5,10,18,66.41975309,66.04938272,67.40740741,61.38888889,65.94982079,66.62551441
